Date,Time,Open,High,Low ,Close,Volume
2020.08.31,0:00,1.19012,1.19291,1.18985,1.19073,11472
2020.08.31,4:00,1.1907,1.19168,1.18963,1.19006,10416
2020.08.31,8:00,1.19005,1.19115,1.18836,1.19074,17571
2020.08.31,12:00,1.19073,1.19399,1.19073,1.19337,17328
2020.08.31,16:00,1.19338,1.19655,1.19209,1.19437,25214
2020.08.31,20:00,1.19436,1.19496,1.19251,1.19365,10942
2020.09.01,0:00,1.19354,1.19476,1.19341,1.19406,5930
2020.09.01,4:00,1.19407,1.19968,1.19407,1.1987,16657
2020.09.01,8:00,1.19871,1.19962,1.19613,1.19722,25801
2020.09.01,12:00,1.19721,1.19948,1.19631,1.19882,21176
2020.09.01,16:00,1.19882,1.20107,1.19315,1.19336,29606
2020.09.01,20:00,1.19335,1.19335,1.19009,1.19113,14701
2020.09.02,0:00,1.19115,1.19282,1.19058,1.1907,6636
2020.09.02,4:00,1.19069,1.19087,1.18914,1.19045,10542
2020.09.02,8:00,1.19046,1.1913,1.18518,1.18566,20321
2020.09.02,12:00,1.18566,1.18771,1.18448,1.18589,22875
2020.09.02,16:00,1.18591,1.18599,1.18217,1.18474,28608
2020.09.02,20:00,1.18473,1.18573,1.18227,1.18516,12938
2020.09.03,0:00,1.18518,1.18549,1.18294,1.18308,6088
2020.09.03,4:00,1.18308,1.18359,1.18041,1.18097,11558
2020.09.03,8:00,1.18098,1.18356,1.17885,1.18319,21797
2020.09.03,12:00,1.18318,1.18408,1.18013,1.18317,20202
2020.09.03,16:00,1.18316,1.18485,1.18108,1.18337,32714
2020.09.03,20:00,1.18336,1.18641,1.18315,1.18507,16176
2020.09.04,0:00,1.18508,1.18573,1.18385,1.1852,7416
2020.09.04,4:00,1.18522,1.18575,1.18403,1.18511,8926
2020.09.04,8:00,1.1851,1.18649,1.18329,1.18586,18190
2020.09.04,12:00,1.18586,1.18623,1.18013,1.18107,24522
2020.09.04,16:00,1.18104,1.18359,1.17805,1.18348,37391
2020.09.04,20:00,1.18349,1.18543,1.18317,1.18366,15241
2020.09.07,0:00,1.18442,1.18459,1.18325,1.18356,6593
2020.09.07,4:00,1.18355,1.18405,1.18295,1.18334,7924
2020.09.07,8:00,1.18333,1.18481,1.1824,1.18321,16069
2020.09.07,12:00,1.1832,1.18367,1.18122,1.18216,13522
2020.09.07,16:00,1.18217,1.18319,1.18143,1.18157,10064
2020.09.07,20:00,1.1816,1.18191,1.18111,1.18131,7125
2020.09.08,0:00,1.1813,1.18211,1.18045,1.18063,5731
2020.09.08,4:00,1.18064,1.18107,1.17946,1.18106,6369
2020.09.08,8:00,1.18107,1.1827,1.17974,1.18079,18802
2020.09.08,12:00,1.18078,1.18146,1.17772,1.18,29145
2020.09.08,16:00,1.17999,1.18054,1.17652,1.17955,36076
2020.09.08,20:00,1.17955,1.1798,1.17721,1.17747,15266
2020.09.09,0:00,1.17732,1.17785,1.17566,1.17751,9622
2020.09.09,4:00,1.17749,1.17822,1.17668,1.1778,9820
2020.09.09,8:00,1.1778,1.17868,1.17603,1.17628,20685
2020.09.09,12:00,1.17627,1.17749,1.17552,1.17588,6928
