Date,Time,Open,High,Low,Close,Volume
2014.08.07,0:00,1.6852,1.68623,1.6849,1.68589,7411
2014.08.07,4:00,1.68588,1.68637,1.68502,1.68529,11324
2014.08.07,8:00,1.6853,1.68548,1.68342,1.68415,16762
2014.08.07,12:00,1.68415,1.68587,1.68231,1.68335,29623
2014.08.07,16:00,1.68336,1.68517,1.68241,1.68324,28834
2014.08.07,20:00,1.68324,1.68371,1.68295,1.68314,6230
2014.08.08,0:00,1.68315,1.68339,1.68089,1.68145,8689
2014.08.08,4:00,1.68145,1.68194,1.68016,1.68142,13362
2014.08.08,8:00,1.68141,1.68293,1.6796,1.68055,23702
2014.08.08,12:00,1.68054,1.68159,1.67972,1.68001,25594
2014.08.08,16:00,1.68001,1.68065,1.67665,1.67757,28825
2014.08.08,20:00,1.67757,1.67832,1.67708,1.67708,10655
2014.08.11,0:00,1.67736,1.67824,1.677,1.67791,8489
2014.08.11,4:00,1.67791,1.67831,1.67737,1.67823,6022
2014.08.11,8:00,1.67822,1.67941,1.67736,1.67881,13404
2014.08.11,12:00,1.6788,1.67936,1.67741,1.67935,13766
2014.08.11,16:00,1.67934,1.67956,1.67797,1.67832,14418
2014.08.11,20:00,1.67833,1.67916,1.67821,1.67857,5145
2014.08.12,0:00,1.67852,1.67898,1.67775,1.6778,9899
2014.08.12,4:00,1.6778,1.67782,1.67615,1.67633,8586
2014.08.12,8:00,1.67634,1.67794,1.67565,1.67703,14190
2014.08.12,12:00,1.67694,1.67852,1.67653,1.67831,18232
2014.08.12,16:00,1.67828,1.68153,1.67807,1.68096,18696
2014.08.12,20:00,1.68096,1.68159,1.68089,1.68109,7002
2014.08.13,0:00,1.6811,1.68129,1.68031,1.68081,6780
2014.08.13,4:00,1.6808,1.68085,1.68008,1.68048,5848
2014.08.13,8:00,1.6805,1.68278,1.67933,1.68051,20304
2014.08.13,12:00,1.68049,1.68432,1.66997,1.67242,47881
2014.08.13,16:00,1.67242,1.67273,1.66853,1.66972,25116
2014.08.13,20:00,1.66972,1.66975,1.66868,1.66873,7474
2014.08.14,0:00,1.66872,1.66926,1.66783,1.66819,5935
2014.08.14,4:00,1.66819,1.66847,1.66699,1.66815,8435
2014.08.14,8:00,1.66815,1.6688,1.66573,1.66739,21163
2014.08.14,12:00,1.66739,1.66968,1.66714,1.66924,22235
2014.08.14,16:00,1.66924,1.66948,1.66801,1.66853,19077
2014.08.14,20:00,1.66853,1.66898,1.66784,1.66852,7461
2014.08.15,0:00,1.66852,1.66892,1.6682,1.66825,5549
2014.08.15,4:00,1.66825,1.66938,1.66819,1.66922,4438
2014.08.15,8:00,1.66922,1.67008,1.66765,1.66962,13142
2014.08.15,12:00,1.66961,1.67,1.66845,1.66939,21007
2014.08.15,16:00,1.66939,1.67017,1.66802,1.66846,29318
2014.08.15,20:00,1.66846,1.66988,1.66828,1.66917,7898
2014.08.18,0:00,1.67286,1.67302,1.67129,1.67183,7241
2014.08.18,4:00,1.67183,1.6732,1.67173,1.67314,5533
2014.08.18,8:00,1.67314,1.67375,1.67234,1.67297,14295
2014.08.18,12:00,1.67297,1.67359,1.67223,1.67294,13938
2014.08.18,16:00,1.67294,1.67337,1.67124,1.67313,18044
2014.08.18,20:00,1.67313,1.6735,1.67252,1.67252,5582
2014.08.19,0:00,1.67256,1.67285,1.67147,1.67178,5557
2014.08.19,4:00,1.67179,1.67234,1.67171,1.67211,4840
2014.08.19,8:00,1.67211,1.67258,1.66342,1.6647,24402
2014.08.19,12:00,1.6647,1.66532,1.66233,1.6631,23211
2014.08.19,16:00,1.66312,1.66324,1.66111,1.66181,23282
2014.08.19,20:00,1.6618,1.66223,1.66136,1.66161,6879
2014.08.20,0:00,1.66163,1.66236,1.66132,1.66194,8003
2014.08.20,4:00,1.66194,1.66243,1.66029,1.66055,7341
2014.08.20,8:00,1.66057,1.66789,1.66015,1.66518,27239
2014.08.20,12:00,1.66518,1.66534,1.66253,1.66434,23431
2014.08.20,16:00,1.66435,1.66525,1.66247,1.66265,16344
