Date,Time,Open,High,Low,Close,Volume
2016.12.01,17:00,1161.69,1172.07,1160.64,1171.88,20329
2016.12.01,21:00,1171.88,1174.8,1170.27,1171.51,8269
2016.12.02,1:00,1172.31,1177.89,1171.74,1174.45,7311
2016.12.02,5:00,1174.45,1176.62,1172.51,1173.84,4397
2016.12.02,9:00,1173.85,1176.68,1170.95,1171.51,6631
2016.12.02,13:00,1171.53,1176.44,1166.73,1174.27,17625
2016.12.02,17:00,1174.27,1178.09,1173.17,1174.82,16220
2016.12.02,21:00,1174.78,1176.94,1173.04,1176.94,5410
2016.12.05,1:00,1179.98,1187.96,1171.54,1175.61,15290
2016.12.05,5:00,1175.6,1177.76,1173.84,1174.38,6312
2016.12.05,9:00,1174.38,1174.38,1162.44,1165.09,14878
2016.12.05,13:00,1165.11,1170.1,1162.91,1163.69,14142
2016.12.05,17:00,1163.7,1175.94,1157.03,1172.22,20374
2016.12.05,21:00,1172.27,1174,1168.61,1170.07,6642
2016.12.06,1:00,1170.11,1175.22,1169.3,1173.68,6600
2016.12.06,5:00,1173.68,1175.08,1169.5,1170.64,6199
2016.12.06,9:00,1170.46,1174.26,1169.45,1171.24,7182
2016.12.06,13:00,1171.25,1175.22,1169.48,1172.26,12331
2016.12.06,17:00,1172.3,1174.07,1166.73,1168.57,13042
2016.12.06,21:00,1168.57,1169.77,1167.48,1169.66,3501
2016.12.07,1:00,1169.28,1169.95,1167.29,1169.58,4304
2016.12.07,5:00,1169.66,1169.93,1165.54,1167.71,4174
2016.12.07,9:00,1167.69,1172.53,1167.57,1171.43,5793
2016.12.07,13:00,1171.53,1180.2,1170.88,1178.32,11004
2016.12.07,17:00,1178.33,1179.96,1173.48,1174.25,12288
2016.12.07,21:00,1174.2,1175.35,1172.06,1173.9,3503
2016.12.08,1:00,1174.75,1177.73,1173.5,1177.18,4708
2016.12.08,5:00,1177.18,1178.63,1175.73,1175.92,5386
2016.12.08,9:00,1175.88,1176.96,1173.76,1175.77,7055
2016.12.08,13:00,1175.81,1178.49,1169.08,1170.96,27721
2016.12.08,17:00,1170.92,1172.25,1169.38,1170.05,14266
2016.12.08,21:00,1170.05,1171.2,1169.95,1170.53,4479
2016.12.09,1:00,1170.34,1170.95,1165.08,1167.47,5970
2016.12.09,5:00,1167.47,1170.06,1166.89,1169.63,2958
2016.12.09,9:00,1169.59,1171.97,1167.62,1168.8,5331
2016.12.09,13:00,1168.9,1170.15,1161.2,1163.32,14342
2016.12.09,17:00,1163.37,1164.55,1157.92,1160.43,15396
2016.12.09,21:00,1160.48,1160.61,1156.14,1159.12,4406
2016.12.12,1:00,1159.15,1160.2,1154.42,1159.61,6841
2016.12.12,5:00,1159.6,1160.14,1156.54,1157.85,5101
2016.12.12,9:00,1157.8,1158.18,1151.17,1155.13,9207
2016.12.12,13:00,1155.07,1162.27,1154.24,1159.11,12880
2016.12.12,17:00,1159.01,1165.84,1156.8,1163.03,16380
2016.12.12,21:00,1163.06,1163.08,1161.2,1162.07,3975
2016.12.13,1:00,1162.3,1164.94,1161.49,1163.63,4370
2016.12.13,5:00,1163.62,1163.62,1160.32,1161.55,3375
2016.12.13,9:00,1161.55,1162.25,1157.04,1158.29,6335
2016.12.13,13:00,1158.19,1164.02,1157.42,1158.33,10023
2016.12.13,17:00,1158.43,1160.33,1154.55,1156.61,14768
2016.12.13,21:00,1156.57,1159.85,1155.47,1157.99,4088
2016.12.14,1:00,1157.48,1161.24,1157.48,1160.28,5098
2016.12.14,5:00,1160.23,1162.51,1159.53,1161.91,3292
2016.12.14,9:00,1161.91,1163.66,1160.57,1162.36,5461
2016.12.14,13:00,1162.36,1165.37,1159.17,1162.72,11917
2016.12.14,17:00,1162.87,1164.09,1152.38,1152.49,12551
2016.12.14,21:00,1152.79,1160.95,1139.04,1142.91,25548
2016.12.15,1:00,1140.88,1144.27,1134.74,1143.4,10090
2016.12.15,5:00,1143.44,1143.89,1140.45,1141.07,6576
2016.12.15,9:00,1141,1141,1130.18,1131.21,11947
2016.12.15,13:00,1131.24,1132.98,1125.76,1129.32,22998
2016.12.15,17:00,1129.36,1131.21,1122.63,1130.85,24521
2016.12.15,21:00,1130.84,1132.56,1126.58,1128.07,7803
2016.12.16,1:00,1128.64,1131.3,1126.6,1130.8,5369
2016.12.16,5:00,1130.9,1135.16,1129.67,1133.5,5291
2016.12.16,9:00,1133.49,1136.12,1132.13,1134.61,8230
2016.12.16,13:00,1134.65,1135.73,1130.85,1131.49,11999
2016.12.16,17:00,1131.49,1141.29,1127.74,1135.41,22821
2016.12.16,21:00,1135.5,1136.15,1132.91,1133.76,5916
2016.12.19,1:00,1133.5,1139.42,1133.5,1138.17,5282
2016.12.19,5:00,1138.17,1142.27,1137.67,1141.4,3641
2016.12.19,9:00,1141.4,1141.94,1137,1137.73,5499
2016.12.19,13:00,1137.74,1140.87,1137.3,1137.32,9813
2016.12.19,17:00,1137.23,1142.26,1136.76,1138.43,14007
2016.12.19,21:00,1138.53,1139.85,1136.84,1138.45,4475
2016.12.20,1:00,1137.63,1139.67,1136.91,1138.77,5037
2016.12.20,5:00,1138.82,1139.59,1132.6,1133.89,8171
2016.12.20,9:00,1133.89,1135.14,1131.72,1133.92,7154
2016.12.20,13:00,1133.91,1134.2,1126.13,1127.12,12241
2016.12.20,17:00,1127.17,1133.21,1125.69,1131.34,12684
2016.12.20,21:00,1131.34,1132.71,1130.71,1132.09,3277
2016.12.21,1:00,1132.31,1135.86,1129.32,1134.01,5623
2016.12.21,5:00,1134.09,1136.97,1134.09,1136.38,3982
2016.12.21,9:00,1136.31,1137.04,1132.49,1134.58,4358
2016.12.21,13:00,1134.58,1137.04,1132.95,1134.73,8549
2016.12.21,17:00,1134.69,1134.74,1129.88,1132.1,10620
2016.12.21,21:00,1132.06,1132.29,1130.59,1131.06,2649
2016.12.22,1:00,1131.41,1132.57,1130.52,1131.63,4416
2016.12.22,5:00,1131.54,1131.66,1128.29,1131.14,3628
2016.12.22,9:00,1131.07,1132.32,1129.88,1130.91,5101
2016.12.22,13:00,1130.91,1133.8,1127.7,1132.01,9641
2016.12.22,17:00,1131.98,1134.02,1127.77,1128.5,12390
2016.12.22,21:00,1128.49,1129.36,1127.93,1128.11,3060
2016.12.23,1:00,1128.4,1131.55,1128.15,1131.01,2152
2016.12.23,5:00,1131.01,1132.27,1130.85,1131.1,2511
2016.12.23,9:00,1131.04,1132.28,1130.34,1130.54,2376
2016.12.23,13:00,1130.63,1133.75,1129.6,1133.34,4675
2016.12.23,17:00,1133.34,1135.77,1131.81,1132.14,6644
2016.12.23,21:00,1132.1,1133.73,1131.09,1133.73,2129
2016.12.27,1:00,1133.74,1137.83,1131.55,1137.53,6591
2016.12.27,5:00,1137.48,1140.35,1136.26,1139.44,4861
2016.12.27,9:00,1139.44,1150.58,1139.01,1143.36,5264
2016.12.27,13:00,1143.36,1143.61,1138.05,1138.4,4336
2016.12.27,17:00,1138.34,1139.13,1135.68,1138.03,7892
2016.12.27,21:00,1138.03,1139.74,1137.83,1138.46,2140
2016.12.28,1:00,1137.96,1142.16,1137.91,1141.35,3263
2016.12.28,5:00,1141.35,1144.45,1141.18,1143.79,3335
