Date,Time,Open,High,Low,Close,Volume
2014.07.29,5:00,1304.54,1306.52,1304.18,1304.76,5208
2014.07.29,9:00,1304.76,1312.15,1303.77,1308.6,16062
2014.07.29,13:00,1308.6,1310.55,1300.67,1300.84,23639
2014.07.29,17:00,1300.87,1302.19,1296.1,1298.96,22153
2014.07.29,21:00,1298.88,1301.23,1298.61,1298.81,7559
2014.07.30,1:00,1298.92,1300.17,1297.99,1298.98,4019
2014.07.30,5:00,1299.06,1300.24,1298.52,1299.16,3797
2014.07.30,9:00,1299.15,1300.2,1297.24,1298.57,9077
2014.07.30,13:00,1298.56,1303.59,1291.71,1295.38,31046
2014.07.30,17:00,1295.34,1296.27,1292.67,1294.32,20124
2014.07.30,21:00,1294.7,1297.86,1293.72,1295.87,11923
2014.07.31,1:00,1295.32,1297.03,1294.23,1295.3,4050
2014.07.31,5:00,1295.3,1295.41,1291.42,1293.43,6154
2014.07.31,9:00,1293.43,1297.3,1293.05,1295.14,15228
2014.07.31,13:00,1295.15,1296.07,1285.51,1286.5,27587
2014.07.31,17:00,1286.41,1289.09,1280.97,1281.93,25340
2014.07.31,21:00,1281.93,1286.05,1280.51,1282.45,6858
2014.08.01,1:00,1282.96,1284.78,1282.28,1283.36,6351
2014.08.01,5:00,1283.36,1284.53,1282.23,1284.28,4857
2014.08.01,9:00,1284.26,1285.71,1283,1284.58,10629
2014.08.01,13:00,1284.58,1297.28,1280.18,1292.98,32246
2014.08.01,17:00,1292.95,1296.2,1290.96,1293.63,25979
2014.08.01,21:00,1293.61,1294.86,1292.61,1293.2,6060
2014.08.04,1:00,1293.92,1294.34,1292.5,1292.74,4227
2014.08.04,5:00,1292.73,1294.02,1291.43,1293.72,4079
2014.08.04,9:00,1293.72,1295.33,1293.11,1293.61,9477
2014.08.04,13:00,1293.61,1294.9,1289,1291.11,14213
2014.08.04,17:00,1291.1,1291.59,1286.06,1288.76,16934
2014.08.04,21:00,1288.76,1288.9,1286.96,1287.95,3794
2014.08.05,1:00,1287.79,1289.44,1287.26,1288.15,3268
2014.08.05,5:00,1288.15,1292.37,1288.06,1291.7,4344
2014.08.05,9:00,1291.7,1293.44,1290.86,1292.32,10237
2014.08.05,13:00,1292.32,1292.45,1284.82,1285.07,19967
2014.08.05,17:00,1285.07,1289.58,1282.45,1289.03,27840
2014.08.05,21:00,1289.06,1293.96,1287.23,1288.3,13195
2014.08.06,1:00,1287.79,1289.83,1287.61,1289.16,4654
2014.08.06,5:00,1289.15,1292.03,1289.07,1291.55,5149
2014.08.06,9:00,1291.55,1292.33,1288.22,1288.5,14007
2014.08.06,13:00,1288.49,1309.24,1288.02,1307.32,33301
2014.08.06,17:00,1307.29,1309.57,1304.45,1307.66,21397
2014.08.06,21:00,1307.66,1308.76,1305.51,1305.88,6006
2014.08.07,1:00,1305.31,1308.05,1305.26,1306.47,4815
2014.08.07,5:00,1306.48,1307.68,1305.76,1306.81,5338
2014.08.07,9:00,1306.8,1308.47,1301.86,1304.05,14010
2014.08.07,13:00,1303.99,1308.25,1302.11,1304.78,27977
2014.08.07,17:00,1304.86,1313.61,1303.87,1310.6,30102
2014.08.07,21:00,1310.67,1314.65,1310.44,1312.25,7629
2014.08.08,1:00,1312.85,1313.23,1308.6,1310.9,6828
2014.08.08,5:00,1310.95,1319.37,1310.93,1318.59,15178
2014.08.08,9:00,1318.58,1322.67,1316.08,1317.27,20723
2014.08.08,13:00,1317.27,1319.06,1305.28,1310.44,31429
2014.08.08,17:00,1310.41,1313.68,1308.47,1309.32,24225
2014.08.08,21:00,1309.29,1311.9,1308.62,1310.75,7187
2014.08.11,1:00,1308.6,1311.5,1306.57,1307.75,6924
2014.08.11,5:00,1307.76,1307.8,1305.15,1305.91,4643
2014.08.11,9:00,1305.92,1308.96,1305.4,1308.64,10006
2014.08.11,13:00,1308.64,1311.28,1306.61,1308.25,15857
2014.08.11,17:00,1308.25,1309.87,1305.72,1309.14,13151
2014.08.11,21:00,1309.19,1309.56,1307.97,1308.33,4746
2014.08.12,1:00,1307.94,1309.09,1306.7,1307.29,3618
2014.08.12,5:00,1307.29,1308.21,1305.61,1307.82,4738
2014.08.12,9:00,1307.83,1313.62,1306.92,1310.25,14636
2014.08.12,13:00,1310.18,1316.65,1309.61,1315.98,18435
2014.08.12,17:00,1316.02,1317.85,1308.05,1309.55,23929
2014.08.12,21:00,1309.55,1310.28,1308.79,1308.95,6002
2014.08.13,1:00,1308.31,1309.51,1308.07,1308.33,4377
2014.08.13,5:00,1308.28,1310.27,1307.83,1310.07,4917
2014.08.13,9:00,1310.05,1311.24,1306.08,1309.38,14965
2014.08.13,13:00,1309.38,1314.54,1304.79,1312.94,25318
2014.08.13,17:00,1312.94,1314.96,1308.47,1312.7,23703
2014.08.13,21:00,1312.8,1312.98,1310.78,1312.7,4566
2014.08.14,1:00,1311.88,1312.92,1310.53,1311.25,4996
2014.08.14,5:00,1311.25,1314.08,1310.94,1311.98,5762
2014.08.14,9:00,1311.9,1317.44,1311.5,1315.37,19264
2014.08.14,13:00,1315.36,1319.39,1308.69,1314.78,29832
2014.08.14,17:00,1314.79,1315.05,1310.91,1313.42,18565
2014.08.14,21:00,1313.33,1313.9,1312.5,1313.35,3423
2014.08.15,1:00,1312.07,1313.24,1311.27,1312.05,3559
2014.08.15,5:00,1311.97,1313.58,1311.16,1313.33,3813
2014.08.15,9:00,1313.35,1315.09,1311.83,1312.35,10053
2014.08.15,13:00,1312.35,1313.7,1292.32,1295.38,37746
2014.08.15,17:00,1295.37,1310.11,1292.94,1304.38,45948
2014.08.15,21:00,1304.4,1306.34,1303.1,1304.64,7279
2014.08.18,1:00,1302.81,1303.07,1297.28,1299.42,7229
2014.08.18,5:00,1299.37,1302.17,1298.93,1301.88,5431
2014.08.18,9:00,1301.85,1303.59,1299.7,1302.93,10938
2014.08.18,13:00,1302.95,1303.04,1296.06,1296.81,15580
2014.08.18,17:00,1296.75,1299.79,1295.51,1297.36,15551
2014.08.18,21:00,1297.37,1299.9,1297.36,1298.12,4654
2014.08.19,1:00,1297.58,1299.67,1297.48,1299.19,4230
2014.08.19,5:00,1299.23,1300.44,1298.29,1299.81,4697
2014.08.19,9:00,1299.78,1301.06,1298.73,1299.92,8873
2014.08.19,13:00,1299.93,1302.35,1295,1295.04,21468
2014.08.19,17:00,1295.02,1297.24,1293.76,1295.98,16864
2014.08.19,21:00,1295.98,1296.46,1294.04,1294.55,4270
2014.08.20,1:00,1295.78,1296.61,1294.08,1296.4,3044
2014.08.20,5:00,1296.41,1296.82,1294.22,1295.98,5943
2014.08.20,9:00,1295.98,1296.45,1292.52,1294.48,10734
2014.08.20,13:00,1294.53,1297.92,1291.69,1295.9,20561
2014.08.20,17:00,1295.94,1296.26,1292.54,1294.85,15215
2014.08.20,21:00,1294.8,1294.81,1287.79,1291.75,14595
2014.08.21,1:00,1290.66,1291.1,1288.72,1289.63,5029
2014.08.21,5:00,1289.61,1289.75,1284.53,1285.85,10060
2014.08.21,9:00,1285.88,1285.88,1274.43,1280.64,22845
2014.08.21,13:00,1280.64,1283.22,1273.59,1276.07,22617
2014.08.21,17:00,1275.96,1280.92,1272.79,1275.32,22114
2014.08.21,21:00,1275.52,1278.76,1275.12,1276.45,4989
2014.08.22,1:00,1277.48,1278.15,1276.35,1278.07,3733
2014.08.22,5:00,1278.11,1280.65,1277.74,1280.27,6264
2014.08.22,9:00,1280.26,1281.79,1279.02,1281.2,9710
2014.08.22,13:00,1281.21,1282.9,1277.45,1278.04,15621
2014.08.22,17:00,1278.04,1281.83,1274.1,1280.25,32980
2014.08.22,21:00,1280.29,1281.23,1279.76,1279.95,5873
2014.08.25,1:00,1279.33,1280.91,1268.88,1278.76,302
2014.08.25,5:00,1278.8,1279.36,1276.68,1278.03,5640
2014.08.25,9:00,1278.14,1278.25,1275.56,1278.07,10174
2014.08.25,13:00,1278.1,1280.67,1276.2,1276.3,13369
2014.08.25,17:00,1276.42,1278.93,1275.74,1277.06,15415
2014.08.25,21:00,1277.05,1278.24,1274.32,1276.43,4389
2014.08.26,1:00,1276.34,1278.49,1275.36,1278.49,5418
2014.08.26,5:00,1278.49,1283.76,1277.86,1282.7,8834
2014.08.26,9:00,1282.7,1290.96,1282.21,1286.83,18398
2014.08.26,13:00,1286.82,1290.9,1286.21,1286.52,19270
2014.08.26,17:00,1286.52,1286.95,1282.21,1284.26,20890
2014.08.26,21:00,1284.24,1284.45,1280.9,1280.9,4639
2014.08.27,1:00,1280.51,1283.8,1279.95,1283.27,5278
2014.08.27,5:00,1283.27,1284.63,1282.83,1283.79,5484
2014.08.27,9:00,1283.79,1286.96,1283.15,1286.56,9152
2014.08.27,13:00,1286.59,1287.32,1282.48,1283.75,16031
2014.08.27,17:00,1283.77,1284.06,1281.2,1282.94,14088
2014.08.27,21:00,1282.94,1283.77,1281.68,1282.37,3716
2014.08.28,1:00,1282.26,1286.12,1282.06,1286.05,4859
2014.08.28,5:00,1286.02,1287.2,1285.43,1285.85,4845
2014.08.28,9:00,1285.85,1293.37,1285.79,1290.73,19873
2014.08.28,13:00,1290.68,1296.45,1289.82,1290.92,30718
2014.08.28,17:00,1290.9,1292.48,1287.14,1289.36,20177
2014.08.28,21:00,1289.35,1291.14,1288.64,1289.3,4561
2014.08.29,1:00,1289.36,1291.06,1288.01,1289.03,4186
2014.08.29,5:00,1289.01,1290.52,1287.74,1288.54,4833
2014.08.29,9:00,1288.52,1290.54,1283.32,1285.83,11670
2014.08.29,13:00,1285.79,1288.42,1284.12,1285.99,12669
2014.08.29,17:00,1285.99,1291.32,1285.16,1286.55,19367
2014.08.29,21:00,1286.49,1287.67,1285.69,1287.12,4170
2014.09.01,1:00,1287.43,1287.99,1284.77,1286.32,4036
2014.09.01,5:00,1286.34,1287.95,1285.78,1287.75,3417
2014.09.01,9:00,1287.75,1289.87,1287.23,1287.63,8330
2014.09.01,13:00,1287.65,1288.12,1285.75,1287.19,6325
2014.09.01,17:00,1287.17,1287.34,1286.19,1286.64,2875
2014.09.02,1:00,1287.09,1287.69,1282.76,1283.39,5675
2014.09.02,5:00,1283.46,1283.62,1280.23,1282.71,8832
2014.09.02,9:00,1282.67,1282.92,1274.56,1276.84,19717
2014.09.02,13:00,1276.84,1277.01,1264.97,1265.68,29321
2014.09.02,17:00,1265.64,1267.28,1262.36,1264.53,26186
2014.09.02,21:00,1264.5,1266.25,1264.38,1265.13,5465
2014.09.03,1:00,1265.86,1267.52,1264.43,1267.06,6144
2014.09.03,5:00,1267.07,1268.32,1265.71,1267.85,6481
2014.09.03,9:00,1267.85,1269.85,1261.16,1267.66,23886
2014.09.03,13:00,1267.66,1271.54,1265.27,1265.8,17158
2014.09.03,17:00,1265.8,1270.31,1264.82,1269.9,16307
2014.09.03,21:00,1269.9,1270.48,1268.89,1269.09,4158
2014.09.04,1:00,1268.82,1271.34,1268.14,1270.94,3763
2014.09.04,5:00,1270.95,1273.41,1270.94,1271.55,6156
2014.09.04,9:00,1271.57,1272.71,1269.45,1271.92,9513
2014.09.04,13:00,1271.91,1277.2,1266.56,1271.93,42352
2014.09.04,17:00,1271.94,1273.8,1264.69,1265.33,30793
2014.09.04,21:00,1265.3,1265.3,1260.55,1261.55,11350
2014.09.05,1:00,1261,1263.27,1257.17,1262.88,8458
2014.09.05,5:00,1262.87,1264.78,1262.38,1264.7,4787
2014.09.05,9:00,1264.71,1265.63,1262.75,1264.64,8066
2014.09.05,13:00,1264.7,1273.65,1260.55,1265.7,21731
2014.09.05,17:00,1265.7,1267.97,1264.54,1266.87,12824
2014.09.05,21:00,1266.86,1269.17,1266.15,1268.88,3673
2014.09.08,1:00,1267.78,1270.16,1265.96,1266.99,4196
2014.09.08,5:00,1266.99,1271.8,1266.15,1269.33,5413
2014.09.08,9:00,1269.24,1270.02,1266.5,1266.51,7269
2014.09.08,13:00,1266.52,1267.14,1259.14,1259.18,13948
2014.09.08,17:00,1259.18,1260.41,1251.42,1255.97,19007
2014.09.08,21:00,1255.94,1256.02,1253.79,1255.15,4790
2014.09.09,1:00,1256.17,1258.07,1255.54,1257.04,6041
2014.09.09,5:00,1256.94,1257.54,1253.9,1255.74,6040
2014.09.09,9:00,1255.72,1257.45,1253.14,1256.56,11231
2014.09.09,13:00,1256.52,1257.51,1252.06,1255.74,13587
2014.09.09,17:00,1255.74,1256.27,1247.53,1249.91,19710
2014.09.09,21:00,1249.91,1257.81,1248.91,1255.26,8152
2014.09.10,1:00,1255.23,1256.05,1253.58,1255.7,5293
2014.09.10,5:00,1255.66,1257.53,1254.65,1257,6830
2014.09.10,9:00,1256.97,1257.77,1252.16,1253.76,11242
2014.09.10,13:00,1253.78,1254.69,1246.63,1252.57,17370
2014.09.10,17:00,1252.53,1252.53,1243.8,1245.97,19451
2014.09.10,21:00,1245.97,1250.92,1245.89,1249.57,6174
2014.09.11,1:00,1248.88,1250.2,1248.19,1248.74,5356
2014.09.11,5:00,1248.74,1249,1246.53,1246.74,6226
2014.09.11,9:00,1246.84,1250.11,1245.54,1246.42,11482
2014.09.11,13:00,1246.4,1246.91,1238.26,1241.81,23517
2014.09.11,17:00,1241.83,1241.83,1234.83,1238.1,22410
2014.09.11,21:00,1238.08,1242.11,1238.01,1240.8,5272
2014.09.12,1:00,1240.09,1241.56,1236.09,1236.91,5381
2014.09.12,5:00,1236.87,1237.41,1232.14,1236.85,8635
2014.09.12,9:00,1236.85,1239.97,1235.19,1237.44,11042
2014.09.12,13:00,1237.44,1239.09,1233.01,1233.86,15466
2014.09.12,17:00,1233.86,1234.16,1228.02,1229.23,20510
2014.09.12,21:00,1229.17,1230.69,1227.49,1229.27,5789
2014.09.15,1:00,1227.33,1232.46,1225.47,1231.43,6465
2014.09.15,5:00,1231.45,1234.93,1231.31,1233.05,5796
2014.09.15,9:00,1233.06,1236.46,1232.3,1234.92,9231
2014.09.15,13:00,1234.92,1238.5,1232.97,1234.32,14832
2014.09.15,17:00,1234.32,1235.47,1231.57,1234.27,13289
2014.09.15,21:00,1234.18,1234.42,1232.84,1233.14,3604
2014.09.16,1:00,1231.99,1238.41,1231.97,1237.37,6371
2014.09.16,5:00,1237.37,1237.7,1235.59,1235.71,5129
2014.09.16,9:00,1235.68,1241.04,1234.7,1238.6,10077
2014.09.16,13:00,1238.6,1241.87,1232.41,1233.17,15720
2014.09.16,17:00,1233.13,1241.8,1231.71,1236.98,22776
2014.09.16,21:00,1236.97,1237.67,1234.99,1235.15,4316
2014.09.17,1:00,1234.54,1237.82,1233.03,1236.93,4364
2014.09.17,5:00,1236.93,1238.18,1236.02,1237.97,4370
2014.09.17,9:00,1237.97,1239.01,1234.63,1236.44,8776
2014.09.17,13:00,1236.44,1239.21,1234.94,1235.89,12299
2014.09.17,17:00,1235.89,1236.93,1233.9,1236.86,12516
2014.09.17,21:00,1236.9,1239.44,1221.33,1223.31,29362
2014.09.18,1:00,1222.33,1223.59,1216.05,1223.37,9802
2014.09.18,5:00,1223.37,1224.31,1222.34,1223.96,7313
2014.09.18,9:00,1223.95,1225.51,1222.08,1223.18,13480
2014.09.18,13:00,1223.2,1224.69,1215.75,1220.81,22598
2014.09.18,17:00,1220.87,1227.9,1218.65,1226.28,20578
2014.09.18,21:00,1226.28,1226.79,1224.4,1225.01,4336
2014.09.19,1:00,1224.68,1226.53,1218.18,1221.93,8185
2014.09.19,5:00,1222,1228.57,1218.75,1223.62,16083
2014.09.19,9:00,1223.67,1225.01,1220.26,1222.67,13469
2014.09.19,13:00,1222.67,1225.75,1218.9,1219.8,19309
2014.09.19,17:00,1219.8,1221.28,1213.72,1215.21,31268
2014.09.19,21:00,1215.29,1217.67,1214.69,1214.97,6188
2014.09.22,1:00,1214.94,1217.85,1208.2,1212.02,11991
2014.09.22,5:00,1211.96,1214.42,1210.6,1212.92,9173
2014.09.22,9:00,1212.91,1216.03,1211.77,1214.81,11044
2014.09.22,13:00,1214.81,1217.2,1211.95,1214.33,18378
2014.09.22,17:00,1214.35,1220.39,1212.16,1216.88,19360
2014.09.22,21:00,1216.88,1217.63,1214.08,1214.8,5503
2014.09.23,1:00,1214.14,1219.18,1214.14,1219.18,6716
2014.09.23,5:00,1219.18,1220.07,1217.21,1218.86,6964
2014.09.23,9:00,1218.86,1227.13,1215.43,1225.3,18536
2014.09.23,13:00,1225.35,1235.28,1221.49,1221.69,25121
2014.09.23,17:00,1221.58,1223.56,1219.83,1221.93,10276
2014.09.23,21:00,1221.9,1224.59,1221.48,1223.06,7275
2014.09.24,1:00,1222.55,1223.62,1220.24,1222.78,6746
2014.09.24,5:00,1222.78,1224.39,1220.76,1223.3,6628
2014.09.24,9:00,1223.31,1226.03,1221.23,1224.63,13553
2014.09.24,13:00,1224.63,1225.57,1216.47,1217.82,20153
2014.09.24,17:00,1217.74,1223.89,1215.61,1217.27,21682
2014.09.24,21:00,1217.24,1218.69,1216.52,1216.85,4097
2014.09.25,1:00,1216.72,1216.99,1212.47,1213.69,6343
2014.09.25,5:00,1213.68,1215.45,1211.48,1211.51,6223
2014.09.25,9:00,1211.54,1212.69,1206.82,1210.19,15737
2014.09.25,13:00,1210.16,1216.84,1208.14,1214.73,23090
2014.09.25,17:00,1214.73,1224.15,1213.52,1222.55,26877
2014.09.25,21:00,1222.6,1224.44,1220.31,1221.39,6521
2014.09.26,1:00,1221.4,1228.44,1220.27,1225.75,7727
2014.09.26,5:00,1225.75,1225.99,1221.69,1223.14,7822
2014.09.26,9:00,1223.14,1231.24,1222.11,1222.71,15288
2014.09.26,13:00,1222.71,1223.84,1213.9,1214.99,21488
2014.09.26,17:00,1214.98,1216.39,1212.22,1214.87,14616
2014.09.26,21:00,1214.87,1218.24,1214.03,1217.68,3844
2014.09.29,1:00,1217.83,1219.24,1215.73,1218.86,7621
2014.09.29,5:00,1218.85,1219.13,1215.18,1216.39,6629
2014.09.29,9:00,1216.39,1220.88,1215.86,1218.94,11723
2014.09.29,13:00,1218.91,1223.26,1218.01,1218.78,17085
2014.09.29,17:00,1218.78,1219.66,1215.97,1216.93,14784
2014.09.29,21:00,1216.91,1218.27,1214.84,1215.63,4423
2014.09.30,1:00,1215.36,1218.08,1214.82,1216.88,4862
2014.09.30,5:00,1216.87,1218.85,1216.26,1216.8,5595
2014.09.30,9:00,1216.85,1217.78,1209.12,1209.81,13956
2014.09.30,13:00,1209.82,1220.11,1204.48,1217.12,27035
2014.09.30,17:00,1216.97,1218.21,1204.71,1209.99,27877
2014.09.30,21:00,1210.01,1210.53,1207.21,1207.87,6292
2014.10.01,1:00,1207.88,1209.93,1205.42,1206.68,7377
2014.10.01,5:00,1206.68,1207.36,1204.61,1206.88,6868
2014.10.01,9:00,1206.88,1209.92,1205.43,1209.53,12330
2014.10.01,13:00,1209.53,1217.46,1207.83,1216.35,21773
2014.10.01,17:00,1216.25,1219.4,1212.89,1214.47,25943
2014.10.01,21:00,1214.37,1217.27,1213.3,1213.68,6185
2014.10.02,1:00,1212.92,1216.6,1212.67,1215.89,5029
2014.10.02,5:00,1215.87,1222.32,1215.74,1221.03,8205
2014.10.02,9:00,1221.03,1221.03,1210.44,1212.87,18338
2014.10.02,13:00,1212.91,1216.98,1208.6,1212.35,27651
2014.10.02,17:00,1212.35,1218.94,1209.83,1214.18,27040
2014.10.02,21:00,1214.2,1215.14,1211.72,1214.31,6216
2014.10.03,1:00,1213.52,1215.27,1210.92,1211.69,5401
2014.10.03,5:00,1211.64,1213.53,1210.43,1211.13,5169
2014.10.03,9:00,1211.14,1211.73,1206.11,1207.46,10949
2014.10.03,13:00,1207.46,1209.48,1195.2,1195.86,31458
2014.10.03,17:00,1196.12,1196.36,1189.95,1192.59,26014
2014.10.03,21:00,1192.69,1192.82,1190.63,1191.09,3924
2014.10.06,1:00,1191.03,1191.34,1182.94,1187.05,12012
2014.10.06,5:00,1187.05,1190.19,1186.81,1188.12,5681
2014.10.06,9:00,1188.13,1195.33,1187.57,1193.67,13681
2014.10.06,13:00,1193.67,1198.8,1193.45,1196.1,17632
2014.10.06,17:00,1196.07,1209.02,1195.5,1207.27,24806
2014.10.06,21:00,1207.25,1208.84,1206.22,1206.98,7331
2014.10.07,1:00,1207.08,1207.12,1204.18,1204.79,4840
2014.10.07,5:00,1204.75,1206.46,1202.83,1205.44,9389
2014.10.07,9:00,1205.36,1212.6,1204.12,1205.89,16892
2014.10.07,13:00,1205.87,1213.41,1203.43,1211.12,21424
2014.10.07,17:00,1211.04,1212.82,1207.34,1211.62,23655
2014.10.07,21:00,1211.62,1212.22,1208.56,1208.76,7779
2014.10.08,1:00,1209.2,1214.43,1208.52,1212.42,7796
2014.10.08,5:00,1212.46,1214.54,1210.95,1213.92,9166
2014.10.08,9:00,1213.93,1220.65,1213.4,1218.37,14886
2014.10.08,13:00,1218.36,1219.61,1215.66,1218.27,18229
2014.10.08,17:00,1218.27,1218.28,1204.89,1205.69,26164
2014.10.08,21:00,1205.85,1224.12,1205.57,1220.86,22641
2014.10.09,1:00,1220.72,1224,1218.89,1223.37,8108
2014.10.09,5:00,1223.37,1226.44,1223.17,1226.27,7765
2014.10.09,9:00,1226.18,1229.86,1224.84,1227.66,16429
2014.10.09,13:00,1227.66,1233.31,1223.86,1227.3,24853
2014.10.09,17:00,1227.3,1229.92,1222.02,1225.1,30716
2014.10.09,21:00,1225.17,1225.76,1223.01,1224,7500
2014.10.10,1:00,1223.22,1224.93,1220.7,1220.91,5942
2014.10.10,5:00,1220.91,1223.89,1220.62,1223.53,6047
2014.10.10,9:00,1223.52,1223.88,1217.3,1221.76,15239
2014.10.10,13:00,1221.78,1225.4,1218.93,1219.58,22906
2014.10.10,17:00,1219.68,1223.61,1219.17,1222.69,21688
2014.10.10,21:00,1222.61,1224.32,1221.3,1222.49,4113
2014.10.13,1:00,1224.26,1234.86,1223.17,1233.17,11553
2014.10.13,5:00,1233.17,1234.76,1231.05,1233.88,6567
2014.10.13,9:00,1233.88,1237.73,1226.43,1228.16,14317
2014.10.13,13:00,1228.16,1229.41,1225.04,1228.8,14492
2014.10.13,17:00,1228.79,1232.36,1227.38,1230.21,14861
2014.10.13,21:00,1230.16,1236.45,1230.08,1235.65,5739
2014.10.14,1:00,1236.86,1237.09,1234.14,1234.27,7587
2014.10.14,5:00,1234.27,1235.33,1233.4,1234.41,5167
2014.10.14,9:00,1234.34,1234.97,1232.09,1233.42,12440
2014.10.14,13:00,1233.42,1238.15,1231.35,1234.71,20421
2014.10.14,17:00,1234.69,1235.66,1230.93,1233.24,19641
2014.10.14,21:00,1233.24,1234.1,1231.46,1232.66,5960
2014.10.15,1:00,1232.05,1232.5,1223.88,1225.92,9021
2014.10.15,5:00,1225.94,1228.37,1225.29,1225.75,7259
2014.10.15,9:00,1225.68,1227.42,1221.85,1222.67,14561
2014.10.15,13:00,1222.67,1249.74,1222.21,1239.9,35568
2014.10.15,17:00,1239.93,1247.84,1235.22,1241.99,42966
2014.10.15,21:00,1242,1242.62,1237.5,1241.8,15380
2014.10.16,1:00,1241.78,1245.19,1238.25,1243.28,9360
2014.10.16,5:00,1243.27,1243.27,1237.28,1240.28,11376
2014.10.16,9:00,1240.19,1244.26,1237.78,1242.38,21118
2014.10.16,13:00,1242.38,1243.87,1235.34,1237.46,31128
2014.10.16,17:00,1237.43,1244.32,1237.12,1240.33,32455
2014.10.16,21:00,1240.36,1240.73,1237.69,1238.75,7583
2014.10.17,1:00,1238.55,1239.63,1236.85,1238.05,6387
2014.10.17,5:00,1237.95,1240.9,1237.26,1240.65,5277
