Date,Time,Open,High,Low,Close,Volume
2020.09.21,1:00,1956.85,1962.51,1955.08,1961.02,12522
2020.09.21,5:00,1961.05,1969.21,1961.01,1967.61,18691
2020.09.21,9:00,1967.72,1967.84,1960.13,1964.24,28977
2020.09.21,13:00,1964.24,1972.05,1953.29,1956.08,43559
2020.09.21,17:00,1956.04,1958.78,1948.15,1954.38,45229
2020.09.21,21:00,1954.4,1956.37,1951.35,1953.43,13245
2020.09.22,1:00,1952.86,1956.46,1949.77,1956.14,14132
2020.09.22,5:00,1956.11,1962.95,1956.03,1959.79,14970
2020.09.22,9:00,1959.79,1968.63,1956.95,1964.51,26579
2020.09.22,13:00,1964.51,1973.54,1961.53,1963.3,42773
2020.09.22,17:00,1963.31,1969.91,1956.51,1962.25,43865
2020.09.22,21:00,1962.08,1970.09,1952.64,1958.67,39925
2020.09.23,1:00,1959.04,1960.86,1946.47,1946.51,20907
2020.09.23,5:00,1946.55,1948.66,1937.7,1944.02,29598
2020.09.23,9:00,1944.02,1947.22,1936.82,1941.21,34417
2020.09.23,13:00,1941.21,1948.71,1932.68,1940.28,49270
2020.09.23,17:00,1940.45,1949.53,1937.74,1944.12,65239
2020.09.23,21:00,1944.23,1948.92,1943.13,1943.86,20597
2020.09.24,1:00,1943.51,1955.47,1943.51,1952.4,18765
2020.09.24,5:00,1952.46,1954.31,1950.66,1954.27,15109
2020.09.24,9:00,1954.27,1956.04,1950.67,1954.42,34632
2020.09.24,13:00,1954.44,1955.09,1945.02,1946.64,46516
